Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 운전을 하며 잔잔하게 흘러나오는 라디오 음악을 듣고 있다. 당신은 분명 운전 중 어떤 생각을 하고 있었을 터이다. 어떤 생각을 하고 있더라? ,,,,,,,,,,,,
,0,,어떤 생각이건 어떠랴! 당신은 오랜만에 주어진 황금 연휴를 즐기기 위해 호텔을 방문 중이다. ,,,,,,,,,,,,
,0,,이 호텔은 고급스럽고 평이 좋기로 유명한 것 같다. 이곳에는 수영장@ 오마카세 등 없는게 없다. 당신은 이 호텔을 본 순간부터 알 수 없는 이끌림에  무조건 가고 싶다는 생각이 들었다. 이상하지만@ 그래도 즐길 생각에 신이 나는 건 어쩔 수 없는 모양이다.,,,,,,,,,,,,
,0,,당신은 찬란한 햇살 아래 웅장한 호텔의 외관을 바라보며 차에서 내린다. 이 호텔의 모습은 당신이 기대했던 것 그 이상으로 고급스럽다. ,,,,,,,,,,,,
,0,,당신은 어쩌면 살짝 위축됐을지도 모른다. 하지만@ 괜찮다. 오늘을 위해 거금을 들여 좋은 방을 예약했으니까.,,,,,,,,,,,,
,0,,나 또한 손님이다. 그렇게 생각하며 위축된 어께를 펴고 당당히 직원의 안내를 받아 호텔로 들어간다.,,,,1,,,,,,,,
,0,,당신은 호화로운 로비로 들어선다. 곳곳에 비치된 고급스러운 장식과 부드러운 음악이 흐르는 가운데@ 다른 손님들의 웅성거림이 멀리서 들려온다. ,,,,,,,,,,,,
,0,,참 아름다운 곳이다. 그런 생각이 든다. 당신은 체크인을 위해 프런트 데스크로 간다.,,,,,,,,,,,,
,0,,당신은 프런트 데스크에 서서 잠시 기다리지만@ 직원의 말은 귀에 들어오지 않는다. 당신의 생각은 이미 호텔에서의 첫날 밤을 어떻게 보낼지에 대한 계획으로 가득 차 있다.,,,,,,,,,,,,
,0,,당신이 집중하는 기색이 보이지 않는데도@ 직원은 계속해서 주의사항 따위를 말해주고 있다.,,,,,,,,,,,,
,0,,“…실종사건…책임..”,,,,,,,,,,,,
,0,,“주의….” ”……..메뉴얼을 참고하시기 바랍니다.”,,,,,,,,,,,,
,0,,당신의 방은 609호인듯 하다. 당신은 직원에게 살짝 고개를 숙여 인사한 뒤 당신의 방으로 향한다.,,,,,,,,,,,,
,0,,당신은 자신의 호실로 이동하기 위해 엘레베이터에 탑승한다.,,,,,,,,,,,,
,0,,이 호텔은 특이하게도 홀수층과 짝수층 엘레베이터가 따로 나뉘어져 있는 모양이다. 당신은 6층으로 방을 배정받아 짝수 층 엘레베이터를 탄다. 엘레베이터에는 각 층에 대한 설명이 써져있다.,,,,,,,,,,,,
,0,,10층: 연회장@ 9층: 스위트룸@ 8~6층: 객실@ 5층: 카지노@ 4층: 카페/바@ 3층: 주방@ 2층: 수영장@ 1층:로비@ B1: 스토어,,,,,,,,,,,,
,0,,당신은 호텔에서 즐길 수 있는 컨텐츠를 고민하다@ 수영장과 카지노에서 시간을 보내다 마지막으로 카페 겸 바에 들러 하루를 마무리할 계획을 세운다.,,,,2,,,,,,,,
,0,,당신은 우선 짐을 정리하기로 한다. 609호. 문을 열자 당신의 방이 당신을 맞이한다.,,,,,,,,,,,,
,0,,침대 위에는 여러 개의 베개가 정돈되어 있다. 침대 오른쪽에는 작은 탁자가 있고@ 그 옆에는 안락해 보이는 의자가 두 개가 있다.,,,,,,,,,,,,
,0,,방의 오른쪽 벽면에는 큰 창문이 있어 밝은 햇살이 들어오고@ 창밖으로 맑은 하늘이 보인다.,,,,,,,,,,,,
,0,,맑은 하늘에 한껏 부푼 설렘이 올라온 당신을 덮친다. 짐을 대충 던져둔 뒤 당신의 계획을 실천하려 한다.,,,,3,,,,,,,,
,0,,당신은 오후의 느긋함을 만끽하고자 우선 수영장으로 향한다. ,,,,,,,,,,,,
,0,,수영장은 창이 크게 뚫려있어 채광이 잘 들어오며 바깥의 풍경을 볼 수 있게 되어있어 당신은 가슴이 뻥 뚫리는 듯한 시원함을 느낀다.,,,,,,,,,,,,
,0,,햇살이 가득 들어와 수영장의 물은 맑고 푸른색이 반짝인다. 수영장의 한 쪽에는 휴식을 위한 선베드들도 베치되어 있다. ,,,,,,,,,,,,
,0,,한 쪽 벽면에는 수영장에서 음료 따위를 시킬 수 있는 벨이 보인다. 이를 통해 서비스를 받을 수 있는 듯 하다. 당신은 수영장에서 여유로운 한 때를 보낸다.,,,,,,,,,,,,
,0,나레이션,당신은 수영장에서 즐거운 시간을 보낸 뒤 본격적으로 놀아보기로 한다. ,,,,12,,,,,,,,
,0,나레이션,당신은 5층에 도착하여 카지노에 들어간다. 카지노는 즐거운 잠시를 만끽하는 사람들의 도파민 섞인 소리들로 가득하다. ,,,,,,,,,,,,
,0,,룰렛 돌아가는 소리@ 아우성 소리@ 즐거운 듯 낄낄거리는 소리@ 어쩌면 한 몫 딸 수 있지 않을 까 하는 기대감. 모든것이 당신의 가슴을 떨리게 한다.,,,,,,,,,,,,
,0,,당신은 내일 본격적으로 즐기기로 마음먹으며 눈앞의 충동을 참아낸 뒤@ 우선 가볍게 다이사이 게임만 참가하기로 한다.,,,,,1,,,,,,,
end,,,,,,,,,,,,,,,
check,0,나레이션,,,,,,,참가한다.,3d6,dici,d1,,,
end,,,,,,,,,,,,,,,
d1,0,나레이션,당신은 게임에 너무 집중한 나머지 격한 피로함을 느낀다. ,,,,2,,,,,,,,
,0,나레이션,당신은 휴식을 위해 당신의 방으로 이동한다. ,,,,15,,,,,,,,
,0,,그리고 침대에 쓰러지듯 눕는다. 푹신함이 당신을 감싸 안는다. 당신은 순식간에 정신이 아득해짐을 느낀다. ,,,,,,,,,,,,1
end,,,,,,,,,,,,,,,
