Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 직원을 따라 1층으로 향한다. 당신은 이 지긋지긋한 곳에서 드디어 나갈 수 있음에 환희에 가득 찬다. ,,,,,,,,,,,,
,0,,직원은 짐 무더기가 가득한 공간으로 당신을 인도한다. 그리고 짐 한켠에 삐져나와 있는 손을 붙잡고는 힘껏 당긴다.,,,,,,,,,,,,
,0,,그러자@ 짐 무더기 사이로 자그마한 공간이 생긴다. 건너편에는 무엇이 있는지 보이지 않는 심연이다.,,,,,,,,,,,,
,0,,당신은 어딘지 모를 불안감을 느낀다. 정말 이곳으로 가면 나갈 수 있는 것일까? ,,,,,,,,,,,,
,0,,호텔 주인이 날 속인 거면 어쩌지? 온갖 상념이 당신을 괴롭히지만@ 당신은 의지를 다진다. ,,,,,,,,,,,,
,0,,더 이상 이 호텔에 있기도 싫고@ 너무 지치고 힘들다. 여기보다 더 지옥일 수 있으랴. 그렇게 생각하고는 공간으로 발걸음을 뗀다.,,,,,,,,,,,,
,0,,그때@ 옆에 가만히 서 있던 직원이 당신을 붙잡는다. 무슨 일이지? 직원은 손에 지니고 있던 메모장을 당신에게 쥐어준다. 당신은 그것을 펴본다.,,,,,,,,,,,,
,0,,[잊지마. 기억해야 해.],,,,,,,,,,,,
,0,,당신이 무슨 뜻이냐고 메모에서 시선을 떼고 황급히 직원을 바라보지만@ 그 자리에 이미 직원은 존재하지 않았다.,,,,,,,,,,,,
,0,,무슨 이야기인지 모르겠지만@ 당신은 여태까지 당신을 도와주었던 그 메모를 마음에 새긴다. ,,,,15,,,,,,,,
,0,,당신은 다시 공간으로 걸어 들어간다. 그곳은 너무도 어두워 한치 앞도 보이지 않았고@ 당신 자신조차 제대로 인지하기 어렵게 만든다. 그럼에도 당신은 돌아가기 위해 앞으로 걸어나간다..,,,,,,,,,,,,
,0,나레이션,당신은 어느 순간 눈을 뜬다.,,,,,,,,,,,,
,0,,어라@ 내가 뭘 하고 있더라? 아 맞아@ 당신은 운전을 하며 잔잔하게 흘러나오는 라디오 음악을 듣고 있다.,,,,,,,,,,,,
,0,,당신은 분명 운전 중 어떤 생각을 하고 있었을 터다. 어떤 생각을 하고 있더라? 어떤 생각이건 어떠랴! ,,,,,,,,,,,,
,0,,당신은 오랜만에 주어진 황금 연휴를 즐기기 위해 호텔을 방문 중이다. 이 호텔은 고급스럽고 평이 좋기로 유명한 것 같다.,,,,,,,,,,,,
,0,,이곳에는 수영장@ 오마카세 등 없는게 없다. 당신은 이 호텔을 본 순간부터 알 수 없는 이끌림에 꼭 가고 싶다고 생각이 들었다. 이상하지만@ 그래도 즐길 생각에 신이 난다.,,,,,,,,,,3,,
end,,,,,,,,,,,,,,,
