Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면
Example,0,나레이션,당신은 교환소로 발걸음을 옮겼다. 카지노 교환소는 화려한 현관을 가진 건물로@ 외부는 반짝이는 강철이 반사되며@ 대형 로고와 빛나는 간판으로 장식되어 있다. ,,,,,,,,,,,,
,,,출입구 주변에는 활기찬 분위기를 연출하기 위해 빛나는 조명과 럭셔리한 식물 장식이 있다.,,,,,,,,,,,,
,,,당신이 그곳에 가까이 가자 칸막이 유리 너머로 “무엇을 교환해 드릴까요?” 라며 긁는 듯한 목소리가 들려온다. ,,,,,,,,,,,,
,,,당신이 칸막이 유리 너머로 누가 이야기를 하는지 관심을 가지며 보려 하지만@ 신기하게도 너머는 보이지 않는다.,,,,,,,,,,,,
,,,교환소의 한편에는 교환할 수 있는 항목에 대한 리스트가 적혀있다.,,,,,,,,,,,,
,,,리스트에는 다음과 같이 적혀있다,,,,,,,,,,,,
,,,[List] 초월의 의지 - 칩30개/ 메리 30년산 - 칩20개/ . . . 연회장 입장권 - 칩 100개,,,,,,,,,,,,
,,,잠깐@ 아래에 무엇인가 적혀있다,,,,,1,,,,,,,
end,,,,,,,,,,,,,,,
check,0,,,,,,,,확인한다,1d100,int,d1,,,
,,,,,,,,,,,,d2,,,
,,,,,,,,,,,,d3,,,
end,,,,,,,,,,,,,,,
d1,0,나레이션,단@ 칩은 인간의 신체로 대체할 수 있습니다. 칩 30개 = (다리 하나@ 손가락 15개) 칩 20개 = (혀 한 개@ 심장 하나) 칩 100개 = (다리 두 개@ 팔 두 개@ 뇌 한 개@ 심장 하나@ 눈알 한 짝),,,,,,,,,,,,
,,,당신은 교환소에서 느껴지는 왜인지 모를 살기에 몸을 쓸어 내린다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
d2,0,나레이션,단@ 칩은 인간의 신체로 대체할 수 있습니다. 칩 30개 = (다리 하나@ 손가락 15개) 칩 20개 = (혀 한 개@ 심장 하나) 칩 100개 = (다리 두 개@ 팔 두 개@ 뇌 한 개@ 심장 하나@ 눈알 한 짝),,,,,,,,,,,,
,,,당신은 교환소에서 느껴지는 왜인지 모를 살기에 몸을 쓸어 내린다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
d3,0,나레이션,당신은 아무것도 찾지 못하였다.,,,,,,,,,,,,
end,,,,,,,,,,,,,,,
